index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
5174,Seaway Valley Community Health Centre,children's treatment centre,Ambulatory health care services,Province of Ontario,,353,pitt street,K6J 3R1,cornwall,Ontario,,Cornwall,3501012.0,35,45.02104953,-74.73000038
5176,Secord Trails Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,263,wonham street s,N5C 3P6,ingersoll,Ontario,,Ingersoll,3532018.0,35,43.03265541,-80.88305150000000
5177,Seeley's Bay Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,138,main street,K0H 2N0,seeleys bay,Ontario,,Leeds and the Thousand Islands,3507021.0,35,44.47717557,-76.23550034
5178,Self Help Resource Centre of Greater Toronto,community support service,Ambulatory health care services,Province of Ontario,,40,st clair avenue e,M4T 1M9,toronto,Ontario,,Toronto,3520005.0,35,43.68812419,-79.39575409
5179,Self-Directed Care Organization,community support service,Ambulatory health care services,Province of Ontario,,80,grosvenor street,M7A 1E9,toronto,Ontario,,Toronto,3520005.0,35,43.66224179,-79.38852459
5181,Senior Adult Services in the Annex,senior active living centre,Nursing and residential care facilities,Province of Ontario,,707,st clair avenue w,M6C 4A1,toronto,Ontario,,Toronto,3520005.0,35,43.68123159,-79.42661820000000
5182,"Senior Peoples' Resources in North Toronto, Inc.",community support service,Ambulatory health care services,Province of Ontario,,140,merton street,M4S 1A1,toronto,Ontario,,Toronto,3520005.0,35,43.69746889,-79.39182829
5183,Senior Persons Living Connected,community support service,Ambulatory health care services,Province of Ontario,,3333,finch avenue e,M1W 2R9,toronto,Ontario,,Toronto,3520005.0,35,43.79635041,-79.31678308
5185,Seniors Activation Maintenance Program of Hamilton Inc.,community support service,Ambulatory health care services,Province of Ontario,,10,pearl street n,L8R 2Y8,hamilton,Ontario,,Hamilton,3525005.0,35,43.26067949,-79.88144281
5186,Seniors Association Kingston Region,community support service,Ambulatory health care services,Province of Ontario,,56,francis street,K7M 1L8,kingston,Ontario,,Kingston,3510010.0,35,44.22437671,-76.52233701
5187,Seniors Life Enhancement Centres,community support service,Ambulatory health care services,Province of Ontario,,2030,bristol circle,L6H 0H2,oakville,Ontario,,Oakville,3524001.0,35,43.51086305,-79.67178966
5188,Seniors' Health Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,2,buchan court,M2J 5A3,toronto,Ontario,,Toronto,3520005.0,35,43.77304721,-79.36002319
5189,Sensenbrenner Hospital,general,Hospitals,Public Health Agency of Canada,,101,progress cres,P5N 3H5,kapuskasing,Ontario,101 progress cres. kapuskasing Ontario p5n 3h5,Kapuskasing,3556066.0,35,49.42561,-82.427581
5190,Sepoy Manor,retirement home,Nursing and residential care facilities,Province of Ontario,,543,gough street,N0G 2H0,lucknow,Ontario,,Huron-Kinloss,3541015.0,35,43.96466384,-81.51076269
5191,Serenity Barrie,retirement home,Nursing and residential care facilities,Province of Ontario,,410,hurst drive,L4N 6N1,barrie,Ontario,,Barrie,3543042.0,35,44.3733395,-79.66832374
5192,Serenity Blenheim Independent Living,retirement home,Nursing and residential care facilities,Province of Ontario,,84,marlborough street n,N0P 1A0,chatham-kent,Ontario,,Chatham-Kent,3536020.0,35,42.33324553,-82.00312039
5193,Serenity House Inc.,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,103,leopolds drive,K1V 7E2,ottawa,Ontario,,Ottawa,3506008.0,35,45.35245904,-75.69600033
5194,Serenity-Durham,retirement home,Nursing and residential care facilities,Province of Ontario,,618,william street,N0G 1R0,durham,Ontario,,West Grey,3542004.0,35,44.18400301,-80.82253259
5195,Serpent River First Nation,community support service,Ambulatory health care services,Province of Ontario,,195,village road,P0P 1B0,cutler,Ontario,,Serpent River 7,3557072.0,35,46.20211726,-82.46780273
5196,Service Familial Catholique Ottawa/Catholic Family Service Ottawa,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,310,olmstead street,K1L 7K3,ottawa,Ontario,,Ottawa,3506008.0,35,45.43407076,-75.66169613
5198,Services and Housing in the Province (Ship),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,30,centre street,L9W 2X3,orangeville,Ontario,,Orangeville,3522014.0,35,43.915378500000000,-80.10451754
5199,Services and Housing in the Province (Ship) - Css,community support service,Ambulatory health care services,Province of Ontario,,969,derry road e,L5T 2J7,mississauga,Ontario,,Mississauga,3521005.0,35,43.66503417,-79.68613508
5200,SERVICES COMMUNAUTAIRES DE PRESCOTT ET RUSSELL,community support service,Ambulatory health care services,Province of Ontario,,295,main w,K6A 0B3,hawkesbury,Ontario,,Hawkesbury,3502008.0,35,45.61067883,-74.61816159
5201,"SERVICES DE COUNSELLING DE HEARST, KAPUSKASING AND SMOOTH ROCK FALLS COUNSELLING SERVICES",mental health and addiction organization,Ambulatory health care services,Province of Ontario,,29,byng avenue,P5N 1W6,kapuskasing,Ontario,,Kapuskasing,3556066.0,35,49.41830514,-82.42231392
5205,Seven Oaks,long-term care home,Nursing and residential care facilities,Province of Ontario,,9,neilson road,M1E 5E1,toronto,Ontario,,Toronto,3520005.0,35,43.78117732,-79.20432774
5206,Seven South Street Treatment Centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,7,south street,L3V 3T1,orillia,Ontario,,Orillia,3543052.0,35,44.61828025,-79.42959029
5207,Sexual Abuse Centre (Thunder Bay),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,385,mooney street,P7B 5L5,thunder bay,Ontario,,Thunder Bay,3558004.0,35,48.40809756,-89.23772706
5208,Sexual Assault Centre for Quinte and District,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,,,P7B 5L5,quinte west,Ontario,,Quinte West,3512015.0,35,44.10113505,-77.57631584
5209,Sexual Assault Centre Kingston,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,400,elliot avenue,K7K 6M9,kingston,Ontario,,Kingston,3510010.0,35,44.25568652,-76.498125
5211,Shalom Manor Long Term Care Home,retirement home,Nursing and residential care facilities,Province of Ontario,,12,bartlett avenue,L3M 4N5,grimsby,Ontario,,Grimsby,3526065.0,35,43.1869815,-79.52455129
5216,Sharbot Lake Fht,family health team - contract,Ambulatory health care services,Province of Ontario,,1005,medical centre road,K0H 2P0,sharbot lake,Ontario,,Central Frontenac,3510035.0,35,44.7679382,-76.69071421
5217,Sharbot Lake Retirement Ltd.,retirement home,Nursing and residential care facilities,Province of Ontario,,14244,road 38,K0H 2P0,maberly,Ontario,,Central Frontenac,3510035.0,35,44.7728289,-76.68572321
5218,Shawanaga First Nation,community support service,Ambulatory health care services,Province of Ontario,,2,village road,P0G 1G0,nobel,Ontario,,Shawanaga 17,3549072.0,35,45.5138039,-80.27356530000000
5219,Sheguiandah First Nation (Css),community support service,Ambulatory health care services,Province of Ontario,,142,ogemah miikan,P0P 1W0,sheguiandah,Ontario,,Sheguiandah 24,3551042.0,35,45.882268000000000,-81.906589
5220,Shelburne Long Term Care Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,200,robert street,L9V 3S1,shelburne,Ontario,,Shelburne,3522021.0,35,44.08301872,-80.20421248
5222,Shepherd Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,3760,sheppard avenue e,M1T 3K9,toronto,Ontario,,Toronto,3520005.0,35,43.78271331,-79.29413397
5223,Shepherd Terrace Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3758,sheppard avenue e,M1T 3K9,toronto,Ontario,,Toronto,3520005.0,35,43.78183521,-79.29511607
5224,Shepherds of Good Hope - Hope Living,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,145,castlefrank road,K2L 3X9,ottawa,Ontario,,Ottawa,3506008.0,35,45.29155252,-75.88038939
5225,Sherbourne Health Centre,family health team - contract,Ambulatory health care services,Province of Ontario,,333,sherbourne street,M5A 2S5,toronto,Ontario,,Toronto,3520005.0,35,43.66230769,-79.37202078
5227,the Rekai Centres at Sherbourne Place,long-term care home,Nursing and residential care facilities,Province of Ontario,,345,sherbourne street,M5A 2S3,toronto,Ontario,,Toronto,3520005.0,35,43.66267759,-79.37266528
5228,Sheridan Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,6,sheridan street,N3T 2P6,brantford,Ontario,,Brantford,3529006.0,35,43.14405575,-80.26632602
5229,Sheridan Villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,2460,truscott drive,L5J 3Z8,mississauga,Ontario,,Mississauga,3521005.0,35,43.51060205,-79.64829886
5230,Sherwood Court Long Term Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,300,ravineview drive,L6A 3P8,vaughan,Ontario,,Vaughan,3519028.0,35,43.88950162,-79.51877245
5231,Sherwood Forest (Trinity) Housing Corporation,community support service,Ambulatory health care services,Province of Ontario,,570,gainsborough road,N6G 4X2,london,Ontario,,London,3539036.0,35,43.00530568,-81.30809613
5232,Sherwood Park Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,1814,county road 2 e,K6V 5T1,brockville,Ontario,,Elizabethtown-Kitley,3507014.0,35,44.605140000000000,-75.662296
5233,Sheshegwaning First Nation (Css),community support service,Ambulatory health care services,Province of Ontario,,,sheshegwaning road,P0P 1X0,sheshegwaning,Ontario,,Sheshegwaning 20,3551044.0,35,45.92231709,-82.84982812
5234,Shkagamik-Kwe Health Centre,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,161,applegrove street,P3C 1N2,sudbury,Ontario,,Greater Sudbury / Grand Sudbury,3553005.0,35,46.49171358,-81.00200379
5235,Shorthills Villa Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,,1532,pelham street,L0S 1E3,pelham,Ontario,,Pelham,3526028.0,35,43.04660368,-79.2860776
5236,Shouldice Hospital Ltd.,general,Hospitals,Public Health Agency of Canada,,7750,bayview ave,L3T 4A3,thornhill,Ontario,7750 bayview ave. thornhill Ontario l3t 4a3,Markham,3519036.0,35,43.8206976,-79.40423840000000
5272,Silverthorn Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,4350,mississauga road,L5M 7C8,mississauga,Ontario,,Mississauga,3521005.0,35,43.56232545,-79.68858187
5273,Simcoe Heritage Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,182,norfolk street s,N3Y 2W4,simcoe,Ontario,,Norfolk County,3528052.0,35,42.833104300000000,-80.30308570000000
5274,Simcoe Manor Home for the Aged,long-term care home,Nursing and residential care facilities,Province of Ontario,,5988,8 line,L0G 1A0,new tecumseth,Ontario,,New Tecumseth,3543007.0,35,44.08139484,-79.77752875
5276,Simcoe Terrace,retirement home,Nursing and residential care facilities,Province of Ontario,,44,donald street,L4N 1E3,barrie,Ontario,,Barrie,3543042.0,35,44.3868042,-79.70197505
5277,Simcoe Village,community support service,Ambulatory health care services,Province of Ontario,,1110,highway 26,L0L 1X0,midhurst,Ontario,,Springwater,3543009.0,35,44.44491511,-79.74484567
5284,Sioux Lookout Meno Ya Win Health Centre,general,Hospitals,Public Health Agency of Canada,,1,meno ya win way,P8T 1B4,sioux lookout,Ontario,1 meno ya min way sioux lookout Ontario p8t 1b4,Sioux Lookout,3560034.0,35,50.1045094,-91.9268373
5289,Sioux Lookout Meno-Ya-Win Health Centre - Seventh Avenue Site,general,Hospitals,Public Health Agency of Canada,,74,7 ave,P8T 1C2,sioux lookout,Ontario,74 7th ave. sioux lookout Ontario p8t 1c2,Sioux Lookout,3560034.0,35,50.1024549,-91.9241884
5290,Sioux Lookout Meno-Ya-Win Health Centre -Css,community support service,Ambulatory health care services,Province of Ontario,,69,front street,P8T 1B4,sioux lookout,Ontario,,Sioux Lookout,3560034.0,35,50.09774718,-91.91950148
5291,Sirch Community Services & Consulting,community support service,Ambulatory health care services,Province of Ontario,,4633,haliburton county road 21,K0M 1S0,haliburton,Ontario,,Dysart et al,3546024.0,35,45.03645236,-78.56024274
5292,Sistering - a Woman's Place,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,220,cowan avenue,M6K 2N6,toronto,Ontario,,Toronto,3520005.0,35,43.64077598,-79.4332507
5293,Six Nations Health Services,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1745,chiefswood road,N0A 1M0,ohsweken,Ontario,,Six Nations (Part) 40,3529020.0,35,43.07223685,-80.11651657
5296,Slate Falls Nation,community support service,Ambulatory health care services,Province of Ontario,,48,lakeview drive,P0V 3C0,slate falls,Ontario,,Slate Falls,3560046.0,35,51.16113294,-91.58227228
5297,Smiths Falls,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,52,abbott street n,K7A 1W3,smiths falls,Ontario,,Smiths Falls,3509004.0,35,44.89791865,-76.02759500000000
5298,Smithville Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,230,canboro street,L0R 2A0,smithville,Ontario,,West Lincoln,3526021.0,35,43.09567428,-79.54853809
5299,Smooth Rock Falls Hospital,general,Hospitals,Public Health Agency of Canada,,107,kelly rd,P0L 2B0,smooth rock falls,Ontario,107 kelly rd. smooth rock falls Ontario p0l 2b0,Smooth Rock Falls,3556048.0,35,49.272285,-81.610265
5300,Sobriety House,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,90,first avenue,K1S 2G4,ottawa,Ontario,,Ottawa,3506008.0,35,45.40566275,-75.68555823
5301,Society of Sharing - Inner-City Volunteers,community support service,Ambulatory health care services,Province of Ontario,,10,saint mary street,M4Y 1P9,toronto,Ontario,,Toronto,3520005.0,35,43.66800979,-79.38663819
5302,"SOCIETY OF ST. VINCENT DE PAUL, TORONTO CENTRAL COUNCIL",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,240,church street,M5B 1Z2,toronto,Ontario,,Toronto,3520005.0,35,43.65585569,-79.37700068
5303,Soins Palliatifs Horizon-Timmins Inc./Horizon-Timmins Palliative Care Inc.,community support service,Ambulatory health care services,Province of Ontario,,733,ross avenue e,P4N 8S8,timmins,Ontario,,Timmins,3556027.0,35,48.48601227,-81.31161512
5304,Somerset West Community Health Centre - yet Keen Seniors,children's treatment centre,Ambulatory health care services,Province of Ontario,,211,bronson avenue,K1R 6H5,ottawa,Ontario,,Ottawa,3506008.0,35,45.41356995,-75.70634624
5305,Sound Times Support Services of Metropolitan Toronto,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1001,queen street w,M6J 1H4,toronto,Ontario,,Toronto,3520005.0,35,43.64308398,-79.41732259
5306,South Algonquin Family Health Team Corporation,family health team - contract,Ambulatory health care services,Province of Ontario,,27,medical centre road,K0J 2M0,whitney,Ontario,,South Algonquin,3548001.0,35,45.49381755,-78.23260578
5308,South Bruce Grey Health Centre - Walkerton,general,Hospitals,Public Health Agency of Canada,,21,mcgivern st,N0G 2V0,walkerton,Ontario,21 mcgivern st. walkerton Ontario n0g 2v0,Brockton,3541032.0,35,44.122931800000000,-81.1528703
5309,South Bruce Grey Health Centre - Chesley,general,Hospitals,Public Health Agency of Canada,,39,2 st se,N0G 1L0,chesley,Ontario,39 - 2nd st. s.e. chesley Ontario n0g 1l0,Arran-Elderslie,3541043.0,35,44.298492000000000,-81.093232
5310,South Bruce Grey Health Centre - Durham,general,Hospitals,Public Health Agency of Canada,,320,college st,N0G 1R0,durham,Ontario,320 college st. durham Ontario n0g 1r0,West Grey,3542004.0,35,44.179865900000000,-80.828585
5311,South Bruce Grey Health Centre - Kincardine,general,Hospitals,Public Health Agency of Canada,,43,queen st,N2Z 2Z2,kincardine,Ontario,43 queen st. kincardine Ontario n2z 2z2,Kincardine,3541024.0,35,44.189023800000000,-81.62547540000000
5317,South Centennial Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,240,fyfe street,P0K 1E0,iroquois falls,Ontario,,Iroquois Falls,3556031.0,35,48.76584185,-80.68247105
5318,South Coast Physiotherapy,other,Ambulatory health care services,Canadian Institute for Health Information,,,,N3Y 1S8,simcoe,Ontario,,,,35,,
5319,South Cochrane Addictions Services Inc.,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,85,pine street s,P4N 2K1,timmins,Ontario,,Timmins,3556027.0,35,48.47443527,-81.32863693
5320,South East Community Care Access Centre (Css),community support service,Ambulatory health care services,Province of Ontario,,1471,john counter boulevard,K7M 8S8,kingston,Ontario,,Kingston,3510010.0,35,44.25958092,-76.52041361
5322,South East Local Health Integration Network,community support service,Ambulatory health care services,Province of Ontario,,71,adam street,K8N 5K3,belleville,Ontario,,Belleville,3512005.0,35,44.19008777,-77.38334099
5324,South East Toronto Fht,family health team - contract,Ambulatory health care services,Province of Ontario,,833,coxwell avenue,M4C 3E8,toronto,Ontario,,Toronto,3520005.0,35,43.69079619,-79.32641447
5325,South Essex Community Council Incorporated,community support service,Ambulatory health care services,Province of Ontario,,215,talbot street e,N8H 3X5,leamington,Ontario,,Leamington,3537003.0,35,42.05812245,-82.58577985
5326,South Huron Hospital,general,Hospitals,Public Health Agency of Canada,,24,huron st w,N0M 1S2,exeter,Ontario,24 huron st. w. exeter Ontario n0m 1s2,South Huron,3540005.0,35,43.343441300000000,-81.4808245
5327,South Muskoka Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,75,ann st,P1L 2E4,bracebridge,Ontario,75 ann st. bracebridge Ontario p1l 2e4,Bracebridge,3544018.0,35,45.04781,-79.314359
5328,South Riverdale Community Health Centre,senior active living centre,Nursing and residential care facilities,Province of Ontario,,2,gower street,M4B 1E2,toronto,Ontario,,Toronto,3520005.0,35,43.702158400000000,-79.29886836
5329,South Riverdale Community Health Centre (Css),community support service,Ambulatory health care services,Province of Ontario,,955,queen street e,M4M 3P3,toronto,Ontario,,Toronto,3520005.0,35,43.66115189,-79.33920577
5330,South West Lhin-Home Care,community support service,Ambulatory health care services,Province of Ontario,,356,oxford street w,N6H 1T3,london,Ontario,,London,3539036.0,35,42.98657228,-81.28184972
5331,South West Local Health Integration Network,community support service,Ambulatory health care services,Province of Ontario,,201,queens avenue,N6A 1J1,london,Ontario,,London,3539036.0,35,42.98523708,-81.24835651
5333,South-East Ottawa Community Health Centre,aids bureau,Ambulatory health care services,Province of Ontario,,1355,bank street,K1H 8K7,ottawa,Ontario,,Ottawa,3506008.0,35,45.38799185,-75.67505383
5334,Southampton Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,140,grey street,N0H 2L0,southampton,Ontario,,Saugeen Shores,3541045.0,35,44.48871523,-81.36830209
5362,Southbridge Lakehead,long-term care home,Nursing and residential care facilities,Province of Ontario,,135,south vickers street,P7E 1J2,thunder bay,Ontario,,Thunder Bay,3558004.0,35,48.38274726,-89.25160776
5363,Southbridge Pinewood,long-term care home,Nursing and residential care facilities,Province of Ontario,,2625,walsh street e,P7E 2E5,thunder bay,Ontario,,Thunder Bay,3558004.0,35,48.37456045,-89.27416157
5364,Southbridge Roseview,long-term care home,Nursing and residential care facilities,Province of Ontario,,99,shuniah street,P7A 2Z2,thunder bay,Ontario,,Thunder Bay,3558004.0,35,48.45042517,-89.21555166
5365,Southbrook Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,,400,ray lawson boulevard,L6Y 4G4,brampton,Ontario,,Brampton,3521010.0,35,43.65401857,-79.7322165
5366,Southern Frontenac Community Services Corporation,community support service,Ambulatory health care services,Province of Ontario,,4295,stagecoach road,K0H 2T0,sydenham,Ontario,,South Frontenac,3510020.0,35,44.40484904,-76.59663125
5367,Southgate Village,retirement home,Nursing and residential care facilities,Province of Ontario,,38,park street,N9Y 1N4,kingsville,Ontario,,Kingsville,3537013.0,35,42.02834304,-82.73923269
5368,Southlake Family Health Team,family health team - contract,Ambulatory health care services,Province of Ontario,,581,davis drive,L3Y 2P6,newmarket,Ontario,,Newmarket,3519048.0,35,44.06118145,-79.45377914
5369,Southlake Regional Health Centre,general,Hospitals,Public Health Agency of Canada,,596,davis dr,L3Y 2P9,newmarket,Ontario,596 davis dr. newmarket Ontario l3y 2p9,Newmarket,3519048.0,35,44.0602265,-79.4522927
5375,Southlake Residential Care Village,long-term care home,Nursing and residential care facilities,Province of Ontario,,640,grace street,L3Y 2P6,newmarket,Ontario,,Newmarket,3519048.0,35,44.05931585,-79.45092944
5376,Southwest Ontario Aboriginal Health Access Centre,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,1025,2 avenue w,N4K 4N1,owen sound,Ontario,,Owen Sound,3542059.0,35,44.56794327,-80.94594007
5377,Southwest Ontario Aboriginal Health Access Centre (Css),community support service,Ambulatory health care services,Province of Ontario,,77,anishnaabeg drive,N0L 1Y0,muncey,Ontario,,Chippewas of the Thames First Nation 42,3539017.0,35,42.80845733,-81.53664599
5378,Southwestern Public Health,public health unit office,Ambulatory health care services,Province of Ontario,,1230,talbot street,N5P 1G9,saint thomas,Ontario,,St. Thomas,3534021.0,35,42.77779055,-81.15086667
5380,Southwind Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,11118,highway 124,P0A 1X0,sundridge,Ontario,,Machar,3549054.0,35,45.82410606,-79.37081068
5381,Spencer House,long-term care home,Nursing and residential care facilities,Province of Ontario,,835,west ridge boulevard,L3V 8B3,orillia,Ontario,,Orillia,3543052.0,35,44.60314495,-79.45390869
5382,Spinal Cord Injury Ontario,community support service,Ambulatory health care services,Province of Ontario,,520,sutherland drive,M4G 3V9,toronto,Ontario,,Toronto,3520005.0,35,43.718498,-79.36971499
5383,Springdale Country Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,2698,clifford line,K9J 6X6,peterborough,Ontario,,Cavan Monaghan,3515013.0,35,44.23107203,-78.39679912
5384,Spruce Hill Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,,bruce avenue w,P0N 1H0,timmins,Ontario,,Timmins,3556027.0,35,48.478149,-81.22005300000000
5385,Spruce Lodge Home for the Aged,community support service,Nursing and residential care facilities,Province of Ontario,,643,west gore street,N5A 1L4,stratford,Ontario,,Stratford,3531011.0,35,43.36760056,-81.00083747
5388,Sprucedale Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,96,kittridge avenue e,N7G 2A8,strathroy,Ontario,,Strathroy-Caradoc,3539015.0,35,42.96355986,-81.62413493
5389,St. Christopher House,community support service,Nursing and residential care facilities,Province of Ontario,,588,queen street w,M6J 1E3,toronto,Ontario,,Toronto,3520005.0,35,43.64740068,-79.40429659
5393,St. Andrew's Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,99,park street,N7M 3R5,chatham-kent,Ontario,,Chatham-Kent,3536020.0,35,42.40239323,-82.17974525
5395,St. Andrew's Terrace Long Term Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,255,st andrews street,N1S 1P1,cambridge,Ontario,,Cambridge,3530010.0,35,43.34600049,-80.32871446
5396,ST. BERNARD'S RESIDENCE,retirement home,Nursing and residential care facilities,Province of Ontario,,685,finch avenue w,M2R 1P2,toronto,Ontario,,Toronto,3520005.0,35,43.770640500000000,-79.45685582
5397,St. Catharines Physiotherapy Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,L2R 1R5,st catharines,Ontario,,St. Catharines,,35,,
5398,St. Charles Village,retirement home,Nursing and residential care facilities,Province of Ontario,,30,nova crescent,L3C 6P8,welland,Ontario,,Welland,3526032.0,35,42.98250767,-79.25673889
5402,St. Clair West Services for Seniors,community support service,Ambulatory health care services,Province of Ontario,,2562,eglington avenue w,M6M 1T4,toronto,Ontario,,Toronto,3520005.0,35,43.69098659,-79.47236762
5405,St. Demetrius Supportive Care Services,community support service,Ambulatory health care services,Province of Ontario,,60,richview road,M9A 5E4,toronto,Ontario,,Toronto,3520005.0,35,43.68434358,-79.51869943
5406,St. Elizabeth Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,391,rymal road w,L9B 1V2,hamilton,Ontario,,Hamilton,3525005.0,35,43.2050955,-79.9103179
5407,St. Francis Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,7,st francis memorial dr,K0J 1B0,barrys bay,Ontario,7 st. francis memorial dr. barry's bay Ontario k0j 1b0,Madawaska Valley,3547030.0,35,45.482208,-77.69469700000000
5408,St. Gabriel's Villa of Sudbury,long-term care home,Nursing and residential care facilities,Province of Ontario,,4690,regional road 15,P0M 1L0,sudbury,Ontario,,Greater Sudbury / Grand Sudbury,3553005.0,35,46.575821000000000,-81.183418
5409,St. George Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,225,st george street,M5R 2M2,toronto,Ontario,,Toronto,3520005.0,35,43.67253289,-79.40161649
5410,St. Hilda's Towers,community support service,Nursing and residential care facilities,Province of Ontario,,2339,dufferin street,M6E 4Z5,toronto,Ontario,,Toronto,3520005.0,35,43.69477959,-79.44946361
5411,St. Jacobs Place,retirement home,Nursing and residential care facilities,Province of Ontario,,10,water street,N0B 2N0,saint jacobs,Ontario,,Woolwich,3530035.0,35,43.53898161,-80.55157454
5412,St. Jacques Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,,915,notre dame street,K0A 1W0,embrun,Ontario,,Russell,3502048.0,35,45.27229585,-75.28638399
5413,St. John's Rehabilitation Hospital,rehabilitation,Hospitals,Public Health Agency of Canada,,285,cummer ave,M2M 2G1,toronto,Ontario,285 cummer ave. toronto Ontario m2m 2g1,Toronto,3520005.0,35,43.7875454,-79.40405680000000
5414,St. John's Retirement Home Inc.,community support service,Nursing and residential care facilities,Province of Ontario,,440,water street,K9J 7K6,peterborough,Ontario,,Peterborough,3515014.0,35,44.30707135,-78.3187302
5415,St. Joseph's at Fleming,long-term care home,Nursing and residential care facilities,Province of Ontario,,659,brealey drive,K9K 2R8,peterborough,Ontario,,Peterborough,3515014.0,35,44.26877564,-78.36982641
5417,St. Joseph’s Care Group — St. Joseph’s Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,35,algoma st n,P7B 5G7,thunder bay,Ontario,35 algoma st. n. thunder bay Ontario p7b 5g7,Thunder Bay,3558004.0,35,48.438058000000000,-89.222677
5419,St. Joseph's Care Group - Lakehead Psychiatric Hospital,psychiatric,Hospitals,Public Health Agency of Canada,,580,algoma st n,P7B 5G4,thunder bay,Ontario,580 algoma st. n. thunder bay Ontario p7b 5g4,Thunder Bay,3558004.0,35,48.438058000000000,-89.222677
5420,St. Joseph's Continuing Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,14,york street,K6J 5T2,cornwall,Ontario,,Cornwall,3501012.0,35,45.01462532,-74.73145128
5421,St. Joseph’s Health Centre of Sudbury,hospital - corporation,Hospitals,Province of Ontario,,1140,south bay road,P3E 0B6,sudbury,Ontario,,Greater Sudbury / Grand Sudbury,3553005.0,35,46.46719898,-80.96760137
5422,St. Joseph's General Hospital - Elliot Lake,general,Hospitals,Public Health Agency of Canada,,70,spine rd,P5A 1X2,elliot lake,Ontario,70 spine rd. elliot lake Ontario p5a 1x2,Elliot Lake,3557041.0,35,46.384833,-82.660924
5423,St. Joseph's Health Care London,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,294,talbot street,N5P 4E3,saint thomas,Ontario,,St. Thomas,3534021.0,35,42.77878014,-81.20023468
5424,St. Joseph's Health Care London - Parkwood,hospital - site,Hospitals,Province of Ontario,,550,wellington road,N6C 0A7,london,Ontario,,London,3539036.0,35,42.9554185,-81.22527170000000
5425,St. Joseph's Health Care London - Southwest Centre for Forensic Mental Health Care,hospital - site,Nursing and residential care facilities,Province of Ontario,,401,sunset drive,N5R 3C6,st thomas,Ontario,,Central Elgin,3534020.0,35,42.74212,-81.190465
5428,St. Joseph's Health Centre - Guelph,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,100,westmount rd,N1H 5H8,guelph,Ontario,100 westmount rd. guelph Ontario n1h 5h8,Guelph,3523008.0,35,43.549994,-80.272024
